database,drug_class,drug_sequence_stratum,context_definition,a_target_suspect_core,b_target_suspect_noncore,c_non_target_core,d_non_target_noncore,sparse,interpretation,ror,ror_ci_low,ror_ci_high,zero_cell_correction
FAERS,NMBA,<2,target-independent non-culprit medication-marker context,0,0,372,45196,1,"descriptive when sparse; burden-stratified sensitivity, not adjustment",,,,not reported; sparse or zero-support burden stratum
FAERS,NMBA,2-4,target-independent non-culprit medication-marker context,759,1233,1076,62101,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",35.52753054929947,31.86913219098659,39.60589260376508,none
FAERS,NMBA,5-8,target-independent non-culprit medication-marker context,1068,2454,1273,48541,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",16.594990560003996,15.153324562165787,18.173814634328735,none
FAERS,NMBA,>=9,target-independent non-culprit medication-marker context,633,3406,1729,157997,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",16.982941510694392,15.410276198491607,18.716102076346818,none
FAERS,antibiotic_anchor,<2,target-independent non-culprit medication-marker context,0,0,372,45196,1,"descriptive when sparse; burden-stratified sensitivity, not adjustment",,,,not reported; sparse or zero-support burden stratum
FAERS,antibiotic_anchor,2-4,target-independent non-culprit medication-marker context,328,926,1507,62408,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",14.668640656060056,12.80456776106836,16.804082942247256,none
FAERS,antibiotic_anchor,5-8,target-independent non-culprit medication-marker context,924,1980,1417,49015,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",16.14231945424606,14.69007706223197,17.73812868775652,none
FAERS,antibiotic_anchor,>=9,target-independent non-culprit medication-marker context,655,6631,1707,154772,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",8.95614560747097,8.157686739193691,9.832756111709896,none
FAERS,chlorhexidine,<2,target-independent non-culprit medication-marker context,0,0,372,45196,1,"descriptive when sparse; burden-stratified sensitivity, not adjustment",,,,not reported; sparse or zero-support burden stratum
FAERS,chlorhexidine,2-4,target-independent non-culprit medication-marker context,20,68,1815,63266,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",10.252147139847674,6.213574296280075,16.91562954996961,none
FAERS,chlorhexidine,5-8,target-independent non-culprit medication-marker context,65,77,2276,50918,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",18.88520530436172,13.539061282274151,26.342371302716,none
FAERS,chlorhexidine,>=9,target-independent non-culprit medication-marker context,128,1189,2234,160214,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",7.720499686397167,6.403411364527889,9.308493865918196,none
FAERS,dye_anchor,<2,target-independent non-culprit medication-marker context,0,0,372,45196,1,"descriptive when sparse; burden-stratified sensitivity, not adjustment",,,,not reported; sparse or zero-support burden stratum
FAERS,dye_anchor,2-4,target-independent non-culprit medication-marker context,9,40,1826,63294,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",7.799096385542168,3.77879527389363,16.096639278449867,none
FAERS,dye_anchor,5-8,target-independent non-culprit medication-marker context,34,154,2307,50841,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",4.86546873152855,3.348232571448483,7.070233465664223,none
FAERS,dye_anchor,>=9,target-independent non-culprit medication-marker context,36,307,2326,161096,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",8.12155466739114,5.736303211646997,11.49863383816571,none
