database,event_group,role_scope,drug_class,background,a,b,c,d,n,ror,ror025,ror975,prr,chi_square,ic_approx,ic025_approx,positive_composite_prelim
FAERS,anaphylaxis_core,suspect,NMBA,whole_database,3206,9962,57364,16883726,16954258,94.7209072251559,90.9492198075976,98.6490074850218,71.90277018355125,213049.4779166067,6.075610841246938,6.033719703773656,1
FAERS,anaphylaxis_core,suspect,NMBA,anesthesia_background,3206,9962,4789,332315,350272,22.331715603863486,21.264573930307435,23.452410729991502,17.138103800553466,29864.815249473988,3.4128708858935646,3.3827190416943966,1
FAERS,anaphylaxis_core,suspect,NMBA,broad_periop_background,3206,9962,10426,625790,649384,19.316475116472713,18.48026927416737,20.190518081188547,14.85698094701558,32369.96153202986,3.5334305650924915,3.497206646498861,1
FAERS,anaphylaxis_core,suspect,antibiotic_anchor,whole_database,7076,166363,53494,16727325,16954258,13.300026385690161,12.968282307436715,13.640256871846155,12.798207378978042,68213.8482157205,3.5124162660739993,3.4815574234571924,1
FAERS,anaphylaxis_core,suspect,antibiotic_anchor,anesthesia_background,2059,10008,5936,332269,350272,11.51608819076814,10.911485624327218,12.154191627386814,9.721721273987532,12241.107662445222,2.899916198946175,2.8525611013433356,1
FAERS,anaphylaxis_core,suspect,antibiotic_anchor,broad_periop_background,7076,166363,6556,469389,649384,3.0452646686876057,2.9432866426314868,3.1507759957982913,2.961821540004706,4516.907017942728,0.9585560352946048,0.9359823105881807,1
FAERS,anaphylaxis_core,suspect,chlorhexidine,whole_database,430,11583,60140,16882105,16954258,10.421028234186421,9.461540842086615,11.477816485730118,10.083806712443296,3506.225798881839,3.3096783116182076,3.1763511766969508,1
FAERS,anaphylaxis_core,suspect,chlorhexidine,anesthesia_background,430,11583,7565,330694,350272,1.6227991896641378,1.4699570559276949,1.791533432459757,1.6005063692566144,93.81330896666289,0.64816603419905,0.5180491974095072,0
FAERS,anaphylaxis_core,suspect,chlorhexidine,broad_periop_background,430,11583,13202,624169,649384,1.7551323295402474,1.5916240758756657,1.9354378592838133,1.7281027031603,130.49028893072636,0.7687056387520779,0.6370491547272354,0
FAERS,anaphylaxis_core,suspect,dye_anchor,whole_database,140,1058,60430,16892630,16954258,36.99023100670776,31.006699381603344,44.12843731253189,32.78436093914592,4319.541194054626,4.877439988367118,4.653601431712541,1
FAERS,anaphylaxis_core,suspect,dye_anchor,anesthesia_background,140,1058,7855,341219,350272,5.748167097642887,4.812409162343872,6.865880241640034,5.193289473544387,476.59624825505426,2.335106238728196,2.1131648821607243,1
FAERS,anaphylaxis_core,suspect,dye_anchor,broad_periop_background,140,1058,13492,634694,649384,6.224872037872195,5.2145891011811445,7.430888826716219,5.614285990040719,536.7513241343258,2.453614893802539,2.2307674026237585,1
FAERS,anaphylaxis_core,any,NMBA,whole_database,3779,16815,56791,16876873,16954258,66.78708468970687,64.41044156829393,69.25142217229832,54.71515145466743,187516.3566389712,5.673100414567708,5.633153300627442,1
FAERS,anaphylaxis_core,any,NMBA,anesthesia_background,3779,16815,4216,325462,350272,17.349210122885445,16.55991313850862,18.17612745734114,14.349129271453764,25326.026715222113,3.0057432744860355,2.9783564487853065,1
FAERS,anaphylaxis_core,any,NMBA,broad_periop_background,3779,16815,9853,618937,649384,14.117506066504406,13.557023843512223,14.701160065685551,11.710443066343188,27330.098259131497,3.1263783023373226,3.0924213179065876,1
FAERS,anaphylaxis_core,any,antibiotic_anchor,whole_database,8141,327983,52429,16565705,16954258,7.842684958334161,7.659741795130722,8.029997485656919,7.676953566806635,41068.975788119445,2.7606728080275404,2.731919080991197,1
FAERS,anaphylaxis_core,any,antibiotic_anchor,anesthesia_background,2504,34508,5491,307769,350272,4.067129163401034,3.874366480271357,4.269482434358826,3.8596264230693516,3728.7935369612283,1.5669816316810878,1.522268492602087,1
FAERS,anaphylaxis_core,any,antibiotic_anchor,broad_periop_background,8141,327983,5491,307769,649384,1.391232935724562,1.3439479689323997,1.440181559247656,1.381757184722748,353.2857961721728,0.20634533984078995,0.1867473374437823,0
FAERS,anaphylaxis_core,any,chlorhexidine,whole_database,556,20633,60014,16873055,16954258,7.576237171019164,6.961543263729502,8.245207635294067,7.403676509020643,3062.2133480204193,2.868540673106953,2.7508160020896852,1
FAERS,anaphylaxis_core,any,chlorhexidine,anesthesia_background,556,20633,7439,321644,350272,1.165127114381903,1.0677090337414388,1.2714336488386813,1.1607941739129646,11.79190537413916,0.20095309636450734,0.08687696180547953,0
FAERS,anaphylaxis_core,any,chlorhexidine,broad_periop_background,556,20633,13076,615119,649384,1.2676420682759877,1.163183922343426,1.3814809355562838,1.2606191323204707,29.351660128260512,0.3215918785410384,0.20576268081612756,0
FAERS,anaphylaxis_core,any,dye_anchor,whole_database,151,1660,60419,16892028,16954258,25.43180113492584,21.524888218186096,30.047845192522864,23.39469347541518,3240.560326702036,4.442037049671787,4.222421903544429,1
FAERS,anaphylaxis_core,any,dye_anchor,anesthesia_background,151,1660,7844,340617,350272,3.950004531128082,3.3388305396023594,4.673054116065015,3.7040350754680373,299.27698531268277,1.8564909652026387,1.6388098251873722,1
FAERS,anaphylaxis_core,any,dye_anchor,broad_periop_background,151,1660,13481,634092,649384,4.27857377138552,3.618825155290391,5.058601267437894,4.005208426559891,343.93581468163904,1.9757551363388297,1.7571502020669494,1
FAERS,periop_hypersensitivity_broad,suspect,NMBA,whole_database,3930,9238,355259,16585831,16954258,19.86125737582057,19.130724507298027,20.619686640623772,14.232100215509602,48854.31250698636,3.8139257818048704,3.7764385830995266,1
FAERS,periop_hypersensitivity_broad,suspect,NMBA,anesthesia_background,3930,9238,16426,320678,350272,8.305235283134708,7.97569630107136,8.648390122246768,6.124982043256261,14438.226382207591,2.359755864785904,2.327242653605178,1
FAERS,periop_hypersensitivity_broad,suspect,NMBA,broad_periop_background,3930,9238,34577,601639,649384,7.402241726835337,7.120039977712274,7.695628501247222,5.491487627012822,13780.925700884422,2.330704194870989,2.295607941964933,1
FAERS,periop_hypersensitivity_broad,suspect,antibiotic_anchor,whole_database,17790,155649,341399,16439420,16954258,5.503688679405626,5.416991558331561,5.591773358632883,5.041735937481226,55971.97946320858,2.2753149851000636,2.2557816572655605,1
FAERS,periop_hypersensitivity_broad,suspect,antibiotic_anchor,anesthesia_background,2764,9303,17592,320613,350272,5.414781410271357,5.176048212658476,5.664525621943785,4.403556100087381,6671.525496762333,1.9779448313796792,1.9348203328330191,1
FAERS,periop_hypersensitivity_broad,suspect,antibiotic_anchor,broad_periop_background,17790,155649,20717,455228,649384,2.511491507009697,2.4596825264241966,2.5643917546349355,2.356454670371441,7944.424090740294,0.7905596857130536,0.7761372102819053,1
FAERS,periop_hypersensitivity_broad,suspect,chlorhexidine,whole_database,4743,7270,354446,16587799,16954258,30.53215077855462,29.43091149289811,31.67459599031932,18.87219979689437,80930.7187458424,4.2173565010215075,4.185761459330025,1
FAERS,periop_hypersensitivity_broad,suspect,chlorhexidine,anesthesia_background,4743,7270,15613,322646,350272,13.482134002710506,12.954086955678884,14.031705815233734,8.553909448073368,25764.871842797827,2.763344156341745,2.7378477743632157,1
FAERS,periop_hypersensitivity_broad,suspect,chlorhexidine,broad_periop_background,4743,7270,33764,603607,649384,11.663236708004929,11.22621044272377,12.117276012327176,7.45315332283325,24701.256956918896,2.7342942918904583,2.705576639466236,1
FAERS,periop_hypersensitivity_broad,suspect,dye_anchor,whole_database,181,1017,359008,16594052,16954258,8.22632649583167,7.022966836108202,9.635877428338112,7.13453593177029,974.8933275333407,2.810029270308657,2.6167474694694586,1
FAERS,periop_hypersensitivity_broad,suspect,dye_anchor,anesthesia_background,181,1017,20175,328899,350272,2.9013934854682297,2.475479525134368,3.400587268868868,2.6141211809024956,189.82275708591592,1.3720392609901289,1.1796602772882907,1
FAERS,periop_hypersensitivity_broad,suspect,dye_anchor,broad_periop_background,181,1017,38326,609860,649384,2.8320066976003773,2.4170064756683836,3.3182624937053693,2.555217705725863,181.27364643329906,1.3431740256549138,1.1503416854292259,1
FAERS,periop_hypersensitivity_broad,any,NMBA,whole_database,4722,15872,354467,16579197,16954258,13.91496153944093,13.467843500601226,14.376923420254805,10.953688916869305,43061.20848166431,3.434506911775407,3.398686823056413,1
FAERS,periop_hypersensitivity_broad,any,NMBA,anesthesia_background,4722,15872,15634,314044,350272,5.976056855767207,5.7633455013426556,6.1966188796146815,4.8350963588781735,11712.59480474965,1.9797456973775436,1.949169602297479,1
FAERS,periop_hypersensitivity_broad,any,NMBA,broad_periop_background,4722,15872,33785,595005,649384,5.239514178396836,5.062900381756461,5.4222889560583125,4.267435614233008,11018.059938787452,1.9506872541564029,1.9173775610159893,1
FAERS,periop_hypersensitivity_broad,any,antibiotic_anchor,whole_database,21944,314180,337245,16280889,16954258,3.3718624899060465,3.3246400765380573,3.419755639435834,3.2170144264577405,32160.44438226518,1.6235971192193632,1.605742517759199,1
FAERS,periop_hypersensitivity_broad,any,antibiotic_anchor,anesthesia_background,3793,33219,16563,296697,350272,2.045363215826663,1.9709520996396366,2.122583641389199,1.9382341042512137,1488.153211491832,0.8182226881973501,0.7792129796653959,0
FAERS,periop_hypersensitivity_broad,any,antibiotic_anchor,broad_periop_background,21944,314180,16563,296697,649384,1.2511558544474468,1.2254142165340254,1.2774382335351788,1.234759036398171,447.84254054349026,0.13878075882359917,0.12672904962642761,0
FAERS,periop_hypersensitivity_broad,any,chlorhexidine,whole_database,5328,15861,353861,16579208,16954258,15.738550457182114,15.25487549599782,16.237560939665027,12.032523894537993,54245.86444985085,3.5676405248120555,3.5344527959892402,1
FAERS,periop_hypersensitivity_broad,any,chlorhexidine,anesthesia_background,5328,15861,15028,314055,350272,7.020017208656444,6.777977958453499,7.270699596827366,5.5062765088725225,15401.13265242705,2.1128498541188474,2.0854045598241004,1
FAERS,periop_hypersensitivity_broad,any,chlorhexidine,broad_periop_background,5328,15861,33179,595016,649384,6.024194741532242,5.828953102193911,6.225976028224602,4.7608548206825665,14498.525379668488,2.083791073549523,2.0533299139247054,1
FAERS,periop_hypersensitivity_broad,any,dye_anchor,whole_database,203,1608,358986,16593461,16954258,5.835384271488518,5.0425519626221975,6.752872325033655,5.293372671757889,721.796798204153,2.3883952340569987,2.2017018348586426,1
FAERS,periop_hypersensitivity_broad,any,dye_anchor,anesthesia_background,203,1608,20153,328308,350272,2.0566091045294543,1.776023505487685,2.381523102461423,1.938170866970382,96.8985255377996,0.9444261272237858,0.7586675631177253,0
FAERS,periop_hypersensitivity_broad,any,dye_anchor,broad_periop_background,203,1608,38304,609269,649384,2.0080519596825814,1.734657631139518,2.324535170745022,1.8950566268192106,90.74592347727854,0.9154917506541396,0.7292637124710863,0
FAERS,kounis_takotsubo_probe,suspect,NMBA,whole_database,164,13004,6673,16934417,16954258,32.004865924895185,27.38559335148011,37.40329558406871,31.61871783773823,4747.930015299662,4.823368907353606,4.6069656290679735,1
FAERS,kounis_takotsubo_probe,suspect,NMBA,anesthesia_background,164,13004,1216,335888,350272,3.4835961404588063,2.9567244212972286,4.1043534468103084,3.4526643537762998,252.77529437643346,1.6510209571079872,1.4455260091849305,1
FAERS,kounis_takotsubo_probe,suspect,NMBA,broad_periop_background,164,13004,1835,634381,649384,4.359944749760501,3.712759097874673,5.119943879969404,4.31809853629143,385.0277961025499,2.0031579340931036,1.793368005163522,1
FAERS,kounis_takotsubo_probe,suspect,antibiotic_anchor,whole_database,657,172782,6180,16774639,16954258,10.321232954417109,9.522284966588678,11.187215051127472,10.285923421664661,4980.470170488461,3.2224979405061833,3.117875880623928,1
FAERS,kounis_takotsubo_probe,suspect,antibiotic_anchor,anesthesia_background,104,11963,1276,336929,350272,2.2955193350867367,1.8780917410789457,2.8057250359504957,2.2843538415217233,69.71485687654709,1.1211495219279148,0.8564216019469368,1
