database,drug_class,agent,estimand,class_suspect_reports_n,core_class_suspect_reports_n,noncore_class_suspect_reports_n,agent_suspect_all_n,agent_suspect_core_n,agent_suspect_noncore_n,all_same_class_agent_report_share_proxy,core_agent_share,core_agent_share_ci_low,core_agent_share_ci_high,noncore_agent_share_leave_event_out,noncore_agent_share_ci_low,noncore_agent_share_ci_high,percentage_point_difference,core_minus_all_report_share_proxy_pp,newcombe_score_ci_low_pp,newcombe_score_ci_high_pp,a_agent_core,b_other_agent_status_core,c_agent_noncore,d_other_agent_status_noncore,sparse_agent_contrast,ror,ror_ci_low,ror_ci_high,zero_cell_correction
FAERS,NMBA,rocuronium,suspect-role agent share: core anaphylaxis minus non-core same-class reports,15697,3206,12491,7761,1939,5822,0.49442568643689877,0.6048034934497817,0.5877646276567582,0.6215915067882417,0.46609558882395324,0.457359150504274,0.4748528745309004,13.870790462582844,11.037780701288291,11.95503212587707,15.763309277194395,1939,1267,5822,6669,0,1.7530314619152727,1.6197875118921277,1.8972360781291526,none
FAERS,NMBA,succinylcholine,suspect-role agent share: core anaphylaxis minus non-core same-class reports,15697,3206,12491,2931,443,2488,0.1867235777537109,0.13817841547099188,0.12666548736214042,0.15055738181583592,0.1991834120566808,0.19227241928748853,0.20627937308481,-6.100499658568892,-4.854516228271902,-7.452905576007553,-4.682752753008492,443,2763,2488,10003,0,0.6446184537753712,0.577760016836962,0.71921375456656,none
FAERS,antibiotic_anchor,cefazolin,suspect-role agent share: core anaphylaxis minus non-core same-class reports,192732,7076,185656,6303,949,5354,0.03270344312309321,0.1341153193894856,0.12637346438930935,0.14225422591740106,0.028838281552979704,0.02808673142570296,0.029609329147507097,10.527703783650589,10.141187626639239,9.749688146039233,11.345056994104642,949,6127,5354,180302,0,5.216035150392523,4.846023856298095,5.614298133256394,none
FAERS,antibiotic_anchor,teicoplanin,suspect-role agent share: core anaphylaxis minus non-core same-class reports,192732,7076,185656,2300,112,2188,0.011933669551501568,0.01582815149802148,0.013171733372866364,0.019009984275179134,0.011785237212909899,0.01130434514502197,0.01228633243180954,0.4042914285111582,0.38944819465199126,0.13396470630159374,0.7260882122544441,112,6964,2188,183468,0,1.348566196275019,1.1136652999752874,1.633013784101946,none
Canada,NMBA,rocuronium,suspect-role agent share: core anaphylaxis minus non-core same-class reports,580,79,501,293,66,227,0.5051724137931034,0.8354430379746836,0.738543347728053,0.9012329279977964,0.4530938123752495,0.41002614149119737,0.49687532395145534,38.234922559943406,33.02706241815802,27.60178063208859,46.098213159069395,66,13,227,274,0,6.128092172145036,3.2958886087788337,11.39404820001465,none
Canada,NMBA,succinylcholine,suspect-role agent share: core anaphylaxis minus non-core same-class reports,580,79,501,221,7,214,0.3810344827586207,0.08860759493670886,0.04358529598731306,0.17178342246211697,0.42714570858283435,0.38454652386081123,0.47085362459267066,-33.853811364612554,-29.242688782191184,-40.128673374738085,-24.508807981243724,7,72,214,287,0,0.13038681204569055,0.058825956815229175,0.2890003269957353,none
Canada,antibiotic_anchor,cefazolin,suspect-role agent share: core anaphylaxis minus non-core same-class reports,12931,354,12577,991,113,878,0.07663753770010054,0.3192090395480226,0.27281085610763134,0.36948883599110405,0.06980997058121968,0.06548654122292141,0.07439611007516261,24.93990689668029,24.257150184792206,20.277478235535863,29.986440332390295,113,241,878,11699,0,6.247634665734081,4.945360732969258,7.8928395771538264,none
Canada,antibiotic_anchor,teicoplanin,suspect-role agent share: core anaphylaxis minus non-core same-class reports,12931,354,12577,2,0,2,0.00015466707911221097,0.0,0.0,0.010735085960564982,0.00015902043412578516,4.361022200149425e-05,0.0005796754975078564,-0.015902043412578514,-0.015466707911221097,-0.05796754975078564,1.0576685881612455,0,354,2,12575,1,,,,not reported; sparse agent-event or agent-noncore cell
JADER,NMBA,rocuronium,suspect-role agent share: core anaphylaxis minus non-core same-class reports,2774,1183,1591,2263,1106,1157,0.8157894736842105,0.9349112426035503,0.9193988684755966,0.9476082556456543,0.7272155876807039,0.7048024278801776,0.7485341693102557,20.769565492284634,11.912176891933978,18.133060848288213,23.345538847028998,1106,77,1157,434,0,5.387915455331186,4.171009434603842,6.959857897457347,none
JADER,NMBA,succinylcholine,suspect-role agent share: core anaphylaxis minus non-core same-class reports,2774,1183,1591,119,11,108,0.04289834174477289,0.009298393913778529,0.005199921489252876,0.01657338161592472,0.0678818353236958,0.0565335711532781,0.0813117661401579,-5.8583441409917265,-3.3599947830994363,-7.262482730838029,-4.510351018798723,11,1172,108,1483,0,0.12887909240298318,0.06898124929501528,0.24078746946986562,none
JADER,antibiotic_anchor,cefazolin,suspect-role agent share: core anaphylaxis minus non-core same-class reports,19761,1991,17770,2057,736,1321,0.10409392237234957,0.36966348568558516,0.3487301852659021,0.3910987631925779,0.0743387732132808,0.07057319338410008,0.07828834929088714,29.532471247230436,26.556956331323555,27.40220784179555,31.708823041522255,736,1255,1321,16449,0,7.302486646902172,6.562292532550402,8.126170993395128,none
JADER,antibiotic_anchor,teicoplanin,suspect-role agent share: core anaphylaxis minus non-core same-class reports,19761,1991,17770,996,35,961,0.050402307575527557,0.01757910597689603,0.01266687236205924,0.024349331855165898,0.05407990996060777,0.05084980601853714,0.05750276724383711,-3.6500803983711734,-3.282320159863153,-4.248795615048424,-2.8999502102079773,35,1956,961,16809,0,0.31298079071519314,0.22265587530166026,0.4399478577602892,none
