database,drug_class,agent,unrestricted_percentage_point_difference,context_percentage_point_difference,percentage_point_change,unrestricted_ror,context_ror,comparison_note
FAERS,NMBA,rocuronium,13.870790462582844,10.586486919330373,-3.284303543252472,1.7530314619152727,1.5296903672049147,Both measures are descriptive reporting contrasts. Different movements can occur when context restriction changes baseline agent shares.
FAERS,NMBA,succinylcholine,-6.100499658568892,-1.4278514164052432,4.672648242163649,0.6446184537753712,0.9041216039048472,Both measures are descriptive reporting contrasts. Different movements can occur when context restriction changes baseline agent shares.
FAERS,antibiotic_anchor,cefazolin,10.527703783650589,24.7248503807722,14.19714659712161,5.216035150392523,3.845226714717028,Both measures are descriptive reporting contrasts. Different movements can occur when context restriction changes baseline agent shares.
FAERS,antibiotic_anchor,teicoplanin,0.4042914285111582,0.7905003102027544,0.3862088816915962,1.348566196275019,1.3622051376841855,Both measures are descriptive reporting contrasts. Different movements can occur when context restriction changes baseline agent shares.
Canada,NMBA,rocuronium,38.234922559943406,39.08809207613988,0.8531695161964734,6.128092172145036,8.064,Both measures are descriptive reporting contrasts. Different movements can occur when context restriction changes baseline agent shares.
Canada,NMBA,succinylcholine,-33.853811364612554,-27.534307215582114,6.31950414903044,0.13038681204569055,0.19845360824742267,Both measures are descriptive reporting contrasts. Different movements can occur when context restriction changes baseline agent shares.
Canada,antibiotic_anchor,cefazolin,24.93990689668029,38.65127856981218,13.711371673131886,6.247634665734081,6.144578313253012,Both measures are descriptive reporting contrasts. Different movements can occur when context restriction changes baseline agent shares.
Canada,antibiotic_anchor,teicoplanin,-0.015902043412578514,0.0,0.015902043412578514,,,Both measures are descriptive reporting contrasts. Different movements can occur when context restriction changes baseline agent shares.
JADER,NMBA,rocuronium,20.769565492284634,18.135049373653178,-2.6345161186314563,5.387915455331186,4.27590632017966,Both measures are descriptive reporting contrasts. Different movements can occur when context restriction changes baseline agent shares.
JADER,NMBA,succinylcholine,-5.8583441409917265,-4.196168509791849,1.6621756311998777,0.12887909240298318,0.18917836817570852,Both measures are descriptive reporting contrasts. Different movements can occur when context restriction changes baseline agent shares.
JADER,antibiotic_anchor,cefazolin,29.532471247230436,47.41292146424002,17.880450217009585,7.302486646902172,8.149854786847838,Both measures are descriptive reporting contrasts. Different movements can occur when context restriction changes baseline agent shares.
JADER,antibiotic_anchor,teicoplanin,-3.6500803983711734,-7.6900458090875325,-4.039965410716359,0.31298079071519314,,Both measures are descriptive reporting contrasts. Different movements can occur when context restriction changes baseline agent shares.
