database,drug_class,agent,context_definition,context_class_suspect_reports_n,context_core_class_suspect_reports_n,context_noncore_class_suspect_reports_n,agent_suspect_core_n,agent_suspect_noncore_n,core_agent_share,noncore_agent_share_leave_event_out,percentage_point_difference,newcombe_score_ci_low_pp,newcombe_score_ci_high_pp,a_agent_core,b_other_agent_status_core,c_agent_noncore,d_other_agent_status_noncore,sparse_agent_contrast,ror,ror_ci_low,ror_ci_high,zero_cell_correction
FAERS,NMBA,rocuronium,target-independent non-culprit medication-marker context,11090,2460,8630,1367,3882,0.5556910569105691,0.44982618771726535,10.586486919330373,8.352763100636029,12.802791702708195,1367,1093,3882,4748,0,1.5296903672049147,1.397848089172152,1.6739677491745883,none
FAERS,NMBA,succinylcholine,target-independent non-culprit medication-marker context,11090,2460,8630,403,1537,0.1638211382113821,0.17809965237543454,-1.4278514164052432,-3.059653150319783,0.2818659988602944,403,2057,1537,7093,0,0.9041216039048472,0.8017467174701518,1.0195687201898718,none
FAERS,antibiotic_anchor,cefazolin,target-independent non-culprit medication-marker context,12436,1907,10529,743,1499,0.38961719979024645,0.14236869598252447,24.7248503807722,22.455945781020887,27.028586268112736,743,1164,1499,9030,0,3.845226714717028,3.454874551398932,4.279683174483577,none
FAERS,antibiotic_anchor,teicoplanin,target-independent non-culprit medication-marker context,12436,1907,10529,58,237,0.030414263240692185,0.022509260138664642,0.7905003102027544,0.04555961091678987,1.7004947945764637,58,1849,237,10292,0,1.3622051376841855,1.0178961285326313,1.8229785781857453,none
Canada,NMBA,rocuronium,target-independent non-culprit medication-marker context,296,45,251,40,125,0.8888888888888888,0.49800796812749004,39.08809207613988,25.2611881776759,47.86124781140755,40,5,125,126,0,8.064,3.0812586007366543,21.10439415388677,none
Canada,NMBA,succinylcholine,target-independent non-culprit medication-marker context,296,45,251,5,97,0.1111111111111111,0.38645418326693226,-27.534307215582114,-36.318851262380974,-13.851661123218046,5,40,97,154,0,0.19845360824742267,0.07569830795920554,0.5202736453190709,none
Canada,antibiotic_anchor,cefazolin,target-independent non-culprit medication-marker context,554,63,491,35,83,0.5555555555555556,0.1690427698574338,38.65127856981218,25.90545082610096,50.64432053906918,35,28,83,408,0,6.144578313253012,3.5445976694099226,10.651658148267233,none
Canada,antibiotic_anchor,teicoplanin,target-independent non-culprit medication-marker context,554,63,491,0,0,0.0,0.0,0.0,-0.7763009247141676,5.747119958885173,0,63,0,491,1,,,,not reported; sparse agent-event or agent-noncore cell
JADER,NMBA,rocuronium,target-independent non-culprit medication-marker context,2364,968,1396,896,1039,0.9256198347107438,0.744269340974212,18.135049373653178,15.260761874137401,20.92049069796073,896,72,1039,357,0,4.27590632017966,3.2689843545997723,5.592983286452843,none
JADER,NMBA,succinylcholine,target-independent non-culprit medication-marker context,2364,968,1396,10,73,0.010330578512396695,0.052292263610315186,-4.196168509791849,-5.5746126293906295,-2.840324453279393,10,958,73,1323,0,0.18917836817570852,0.09718179814706086,0.3682629429378005,none
JADER,antibiotic_anchor,cefazolin,target-independent non-culprit medication-marker context,1575,591,984,467,311,0.7901861252115059,0.3160569105691057,47.41292146424002,42.848203467110565,51.60219616637494,467,124,311,673,0,8.149854786847838,6.415353661553914,10.353308102833179,none
JADER,antibiotic_anchor,teicoplanin,target-independent non-culprit medication-marker context,1575,591,984,2,79,0.00338409475465313,0.08028455284552846,-7.6900458090875325,-9.57171779569709,-5.913613649587143,2,589,79,905,1,,,,not reported; sparse agent-event or agent-noncore cell
