database,event_group,event_n,drug_class,event_with_class_any_n,event_with_class_suspect_n
Canada,anaphylaxis_core,7797,NMBA,117,79
Canada,anaphylaxis_core,7797,antibiotic_anchor,473,354
Canada,anaphylaxis_core,7797,chlorhexidine,46,30
Canada,anaphylaxis_core,7797,dye_anchor,26,26
Canada,periop_hypersensitivity_broad,58253,NMBA,193,103
Canada,periop_hypersensitivity_broad,58253,antibiotic_anchor,2281,1553
Canada,periop_hypersensitivity_broad,58253,chlorhexidine,842,790
Canada,periop_hypersensitivity_broad,58253,dye_anchor,41,40
Canada,kounis_takotsubo_probe,170,NMBA,15,14
Canada,kounis_takotsubo_probe,170,antibiotic_anchor,26,22
Canada,kounis_takotsubo_probe,170,chlorhexidine,0,0
Canada,kounis_takotsubo_probe,170,dye_anchor,0,0
JADER,anaphylaxis_core,32665,NMBA,2317,1183
JADER,anaphylaxis_core,32665,antibiotic_anchor,3179,1991
JADER,anaphylaxis_core,32665,chlorhexidine,115,81
JADER,anaphylaxis_core,32665,dye_anchor,65,46
JADER,periop_hypersensitivity_broad,40386,NMBA,2526,1272
JADER,periop_hypersensitivity_broad,40386,antibiotic_anchor,3738,2258
JADER,periop_hypersensitivity_broad,40386,chlorhexidine,122,85
JADER,periop_hypersensitivity_broad,40386,dye_anchor,70,47
JADER,kounis_takotsubo_probe,865,NMBA,77,37
JADER,kounis_takotsubo_probe,865,antibiotic_anchor,55,25
JADER,kounis_takotsubo_probe,865,chlorhexidine,2,1
JADER,kounis_takotsubo_probe,865,dye_anchor,1,1
