database,drug_class,agent,context,core_class_n,noncore_class_n,a,b,c,d,core_agent_share,noncore_agent_share,difference_pp,ror,sparse_display
FAERS,NMBA,rocuronium,target-independent medication context,2460,8630,1367,1093,3882,4748,0.5556910569105691,0.44982618771726535,10.586486919330373,1.5296903672049147,0
FAERS,NMBA,succinylcholine,target-independent medication context,2460,8630,403,2057,1537,7093,0.1638211382113821,0.17809965237543454,-1.4278514164052432,0.9041216039048472,0
FAERS,antibiotic_anchor,cefazolin,target-independent medication context,1907,10529,743,1164,1499,9030,0.38961719979024645,0.14236869598252447,24.7248503807722,3.845226714717028,0
FAERS,antibiotic_anchor,teicoplanin,target-independent medication context,1907,10529,58,1849,237,10292,0.030414263240692185,0.022509260138664642,0.7905003102027544,1.3622051376841855,0
Canada,NMBA,rocuronium,target-independent medication context,45,251,40,5,125,126,0.8888888888888888,0.49800796812749004,39.08809207613988,8.064,0
Canada,NMBA,succinylcholine,target-independent medication context,45,251,5,40,97,154,0.1111111111111111,0.38645418326693226,-27.534307215582114,0.19845360824742267,0
Canada,antibiotic_anchor,cefazolin,target-independent medication context,63,491,35,28,83,408,0.5555555555555556,0.1690427698574338,38.65127856981218,6.144578313253012,0
Canada,antibiotic_anchor,teicoplanin,target-independent medication context,63,491,0,63,0,491,0.0,0.0,0.0,,1
JADER,NMBA,rocuronium,target-independent medication context,968,1396,896,72,1039,357,0.9256198347107438,0.744269340974212,18.135049373653178,4.27590632017966,0
JADER,NMBA,succinylcholine,target-independent medication context,968,1396,10,958,73,1323,0.010330578512396695,0.052292263610315186,-4.196168509791849,0.18917836817570852,0
JADER,antibiotic_anchor,cefazolin,target-independent medication context,591,984,467,124,311,673,0.7901861252115059,0.3160569105691057,47.41292146424002,8.149854786847838,0
JADER,antibiotic_anchor,teicoplanin,target-independent medication context,591,984,2,589,79,905,0.00338409475465313,0.08028455284552846,-7.6900458090875325,,1
