database,drug_class,agent,context,core_class_n,noncore_class_n,a,b,c,d,core_agent_share,noncore_agent_share,difference_pp,ror,sparse_display
FAERS,NMBA,rocuronium,role-symmetric baseline,3206,12491,1939,1267,5822,6669,0.6048034934497817,0.46609558882395324,13.870790462582844,1.7530314619152727,0
FAERS,NMBA,succinylcholine,role-symmetric baseline,3206,12491,443,2763,2488,10003,0.13817841547099188,0.1991834120566808,-6.100499658568892,0.6446184537753712,0
FAERS,antibiotic_anchor,cefazolin,role-symmetric baseline,7076,185656,949,6127,5354,180302,0.1341153193894856,0.028838281552979704,10.527703783650589,5.216035150392523,0
FAERS,antibiotic_anchor,teicoplanin,role-symmetric baseline,7076,185656,112,6964,2188,183468,0.01582815149802148,0.011785237212909899,0.4042914285111582,1.348566196275019,0
Canada,NMBA,rocuronium,role-symmetric baseline,79,501,66,13,227,274,0.8354430379746836,0.4530938123752495,38.234922559943406,6.128092172145036,0
Canada,NMBA,succinylcholine,role-symmetric baseline,79,501,7,72,214,287,0.08860759493670886,0.42714570858283435,-33.853811364612554,0.13038681204569055,0
Canada,antibiotic_anchor,cefazolin,role-symmetric baseline,354,12577,113,241,878,11699,0.3192090395480226,0.06980997058121968,24.93990689668029,6.247634665734081,0
Canada,antibiotic_anchor,teicoplanin,role-symmetric baseline,354,12577,0,354,2,12575,0.0,0.00015902043412578516,-0.015902043412578514,,1
JADER,NMBA,rocuronium,role-symmetric baseline,1183,1591,1106,77,1157,434,0.9349112426035503,0.7272155876807039,20.769565492284634,5.387915455331186,0
JADER,NMBA,succinylcholine,role-symmetric baseline,1183,1591,11,1172,108,1483,0.009298393913778529,0.0678818353236958,-5.8583441409917265,0.12887909240298318,0
JADER,antibiotic_anchor,cefazolin,role-symmetric baseline,1991,17770,736,1255,1321,16449,0.36966348568558516,0.0743387732132808,29.532471247230436,7.302486646902172,0
JADER,antibiotic_anchor,teicoplanin,role-symmetric baseline,1991,17770,35,1956,961,16809,0.01757910597689603,0.05407990996060777,-3.6500803983711734,0.31298079071519314,0
