database,event_group,culprit_class_count,report_n,pair,any_pair_n,suspect_pair_n
Canada,anaphylaxis_core,0,7339,,,
Canada,anaphylaxis_core,1,434,,,
Canada,anaphylaxis_core,2,17,,,
Canada,anaphylaxis_core,3,7,,,
Canada,anaphylaxis_core,,,NMBA__antibiotic_anchor,42,22
Canada,anaphylaxis_core,,,NMBA__chlorhexidine,11,7
Canada,anaphylaxis_core,,,NMBA__dye_anchor,8,1
Canada,anaphylaxis_core,,,antibiotic_anchor__chlorhexidine,11,7
Canada,anaphylaxis_core,,,antibiotic_anchor__dye_anchor,3,1
Canada,anaphylaxis_core,,,chlorhexidine__dye_anchor,6,0
JADER,anaphylaxis_core,0,29655,,,
JADER,anaphylaxis_core,1,2730,,,
JADER,anaphylaxis_core,2,269,,,
JADER,anaphylaxis_core,3,11,,,
JADER,anaphylaxis_core,,,NMBA__antibiotic_anchor,743,264
JADER,anaphylaxis_core,,,NMBA__chlorhexidine,53,19
JADER,anaphylaxis_core,,,NMBA__dye_anchor,28,6
JADER,anaphylaxis_core,,,antibiotic_anchor__chlorhexidine,28,8
JADER,anaphylaxis_core,,,antibiotic_anchor__dye_anchor,13,5
JADER,anaphylaxis_core,,,chlorhexidine__dye_anchor,1,0
