database,country_field,country_stratum,drug_class,agent,class_core_n,class_noncore_n,agent_core_n,agent_noncore_n,core_agent_share,noncore_agent_share,percentage_point_difference,a,b,c,d,ror_no_correction,note
FAERS,OCCR_COUNTRY,GB,NMBA,rocuronium,225,476,159,271,0.7066666666666667,0.569327731092437,13.733893557422972,159,66,271,205,1.8223750419322375,Country-stratified descriptive contrast; country is not an exposure denominator.
FAERS,OCCR_COUNTRY,Non-GB observed,NMBA,rocuronium,2122,6372,1155,3041,0.5442978322337417,0.47724419334588825,6.705363888785349,1155,967,3041,3331,1.3083192236266372,Country-stratified descriptive contrast; country is not an exposure denominator.
FAERS,OCCR_COUNTRY,Missing OCCR_COUNTRY,NMBA,rocuronium,113,1782,53,570,0.4690265486725664,0.31986531986531985,14.916122880724652,53,60,570,1212,1.8782456140350878,Country-stratified descriptive contrast; country is not an exposure denominator.
FAERS,OCCR_COUNTRY,GB,NMBA,succinylcholine,225,476,15,59,0.06666666666666667,0.12394957983193278,-5.728291316526611,15,210,59,417,0.5048426150121066,Country-stratified descriptive contrast; country is not an exposure denominator.
FAERS,OCCR_COUNTRY,Non-GB observed,NMBA,succinylcholine,2122,6372,358,1118,0.16870876531573986,0.17545511613308223,-0.6746350817342373,358,1764,1118,5254,0.9537459587293474,Country-stratified descriptive contrast; country is not an exposure denominator.
FAERS,OCCR_COUNTRY,Missing OCCR_COUNTRY,NMBA,succinylcholine,113,1782,30,360,0.26548672566371684,0.20202020202020202,6.346652364351482,30,83,360,1422,1.427710843373494,Country-stratified descriptive contrast; country is not an exposure denominator.
FAERS,OCCR_COUNTRY,GB,antibiotic_anchor,cefazolin,234,643,2,2,0.008547008547008548,0.003110419906687403,0.5436588640321145,2,232,2,641,2.7629310344827585,Country-stratified descriptive contrast; country is not an exposure denominator.
FAERS,OCCR_COUNTRY,Non-GB observed,antibiotic_anchor,cefazolin,1574,8566,695,1249,0.4415501905972046,0.14580901237450386,29.574117822270075,695,879,1249,7317,4.631978620439013,Country-stratified descriptive contrast; country is not an exposure denominator.
FAERS,OCCR_COUNTRY,Missing OCCR_COUNTRY,antibiotic_anchor,cefazolin,99,1320,46,248,0.46464646464646464,0.18787878787878787,27.67676767676768,46,53,248,1072,3.7516737674984784,Country-stratified descriptive contrast; country is not an exposure denominator.
FAERS,OCCR_COUNTRY,GB,antibiotic_anchor,teicoplanin,234,643,55,106,0.23504273504273504,0.16485225505443235,7.019047998830269,55,179,106,537,1.5566037735849056,Country-stratified descriptive contrast; country is not an exposure denominator.
FAERS,OCCR_COUNTRY,Non-GB observed,antibiotic_anchor,teicoplanin,1574,8566,3,108,0.0019059720457433292,0.012607985057202896,-1.0702013011459566,3,1571,108,8458,0.14955088761581442,Country-stratified descriptive contrast; country is not an exposure denominator.
FAERS,OCCR_COUNTRY,Missing OCCR_COUNTRY,antibiotic_anchor,teicoplanin,99,1320,0,23,0.0,0.017424242424242425,-1.7424242424242427,0,99,23,1297,,Country-stratified descriptive contrast; country is not an exposure denominator.
