database,event_group,role_scope,drug_class,background,a,b,c,d,n,ror,ror025,ror975,prr,chi_square,ic_approx,ic025_approx,positive_composite_prelim
FAERS,anaphylaxis_core,suspect,NMBA,whole_database,3206,12491,57364,19888175,19961236,88.98602663675884,85.52585554823646,92.58618795262356,71.01550988849809,210232.808535303,6.057898722221702,6.014856571977696,1
FAERS,anaphylaxis_core,suspect,NMBA,anesthesia_background,3206,12491,4789,374502,394988,20.071305163062572,19.12780751193223,21.06134175061484,16.17612746332513,27907.314700898547,3.332880865610417,3.3011889138539043,1
FAERS,anaphylaxis_core,suspect,NMBA,broad_periop_background,3206,12491,10426,707617,733740,17.419947710519615,16.680836059918224,18.191808680764964,14.066290810479742,30324.333807174626,3.4563108700952045,3.418779722416856,1
FAERS,anaphylaxis_core,suspect,antibiotic_anchor,whole_database,7076,185656,53494,19715010,19961236,14.046585379807217,13.69688044561075,14.405218882920307,13.567590515708282,72972.03511177341,3.5957326781877463,3.5648003002670734,1
FAERS,anaphylaxis_core,suspect,antibiotic_anchor,anesthesia_background,2059,11095,5936,375898,394988,11.75182086464727,11.138877370783936,12.398493047153389,10.068834764578186,12744.896918569972,2.9487247075623118,2.9008219178362307,1
FAERS,anaphylaxis_core,suspect,antibiotic_anchor,broad_periop_background,7076,185656,6556,534452,733740,3.107052536403869,3.0031552122247547,3.214544298169039,3.0296938012296697,4714.917128227789,0.9825820216350661,0.9599375443336623,1
FAERS,anaphylaxis_core,suspect,chlorhexidine,whole_database,430,12095,60140,19888571,19961236,11.757168412191863,10.675437617633241,12.948509843223473,11.387860434767312,4057.926722305722,3.482872118643058,3.349443252958357,1
FAERS,anaphylaxis_core,suspect,chlorhexidine,anesthesia_background,430,12095,7565,374898,394988,1.7618412507066359,1.5960279001397812,1.944881159295314,1.7356862217402602,129.4952209553375,0.7610708991715534,0.6308594737649645,0
FAERS,anaphylaxis_core,suspect,chlorhexidine,broad_periop_background,430,12095,13202,708013,733740,1.9066197456271265,1.7291295283708519,2.102328827754306,1.8754942773141794,173.41395621488488,0.8844496479666989,0.7526952455873761,0
FAERS,anaphylaxis_core,suspect,dye_anchor,whole_database,140,1257,60430,19899409,19961236,36.67586302408976,30.79353821390931,43.6818568628859,33.10061547693688,4361.4763743454605,4.889834347036273,4.663882212981601,1
FAERS,anaphylaxis_core,suspect,dye_anchor,anesthesia_background,140,1257,7855,385736,394988,5.469362910793129,4.586456100494564,6.5222319792254915,5.021466842424456,452.14208668527823,2.2875897275469463,2.0635225055077338,1
FAERS,anaphylaxis_core,suspect,dye_anchor,broad_periop_background,140,1257,13492,718851,733740,5.934106094515834,4.979135672855856,7.07223451108989,5.439635906089051,511.5807907946806,2.4089814202718465,2.184014028785243,1
FAERS,anaphylaxis_core,any,NMBA,whole_database,3779,22049,56791,19878617,19961236,59.99218014999015,57.901135921583375,62.15874044376524,51.360793717172555,175497.95435246621,5.58253837804867,5.5416191807723205,1
FAERS,anaphylaxis_core,any,NMBA,anesthesia_background,3779,22049,4216,364944,394988,14.83589052948569,14.169434596001977,15.5336930568131,12.811504966882064,22148.797001442108,2.8525191917393946,2.8237766481106474,1
FAERS,anaphylaxis_core,any,NMBA,broad_periop_background,3779,22049,9853,698059,733740,12.142598704470617,11.668499062097816,12.635961361709496,10.512279651342443,23955.35827638581,2.9760286671680007,2.9409524493820522,1
FAERS,anaphylaxis_core,any,antibiotic_anchor,whole_database,8141,372491,52429,19528175,19961236,8.140518260135337,7.950869459035355,8.334690675658115,7.98779605297524,43208.087948469874,2.8167990888610692,2.7879982664150065,1
FAERS,anaphylaxis_core,any,antibiotic_anchor,anesthesia_background,2504,39376,5491,347617,394988,4.025800891281518,3.8355980088993347,4.225435715275558,3.8448886316881827,3694.8334535269105,1.5620493567301676,1.517085021109096,1
FAERS,anaphylaxis_core,any,antibiotic_anchor,broad_periop_background,8141,372491,5491,347617,733740,1.3836031252032157,1.3366322139159672,1.432224652482047,1.3753985784434073,342.35041366514275,0.2031393668897492,0.18350654432150668,0
FAERS,anaphylaxis_core,any,chlorhexidine,whole_database,556,21918,60014,19878748,19961236,8.40253486736235,7.721299526920003,9.143874285809906,8.21939838136727,3503.8991303166595,3.0181113246824687,2.900295352715489,1
FAERS,anaphylaxis_core,any,chlorhexidine,anesthesia_background,556,21918,7439,365075,394988,1.2449198856174883,1.1409108363948801,1.3584107295387726,1.2388606413172603,24.317471009691612,0.2892506940969679,0.17509134774707974,0
FAERS,anaphylaxis_core,any,chlorhexidine,broad_periop_background,556,21918,13076,698190,733740,1.3544799519865627,1.242950344748622,1.4760170815227212,1.3457102245991583,48.26225190353233,0.41274178423888563,0.29682559210443615,0
FAERS,anaphylaxis_core,any,dye_anchor,whole_database,151,1919,60419,19898747,19961236,25.915176431503465,21.954613202857622,30.59021642834215,24.097692546886545,3344.8331461729717,4.481639949211103,4.260770836565995,1
FAERS,anaphylaxis_core,any,dye_anchor,anesthesia_background,151,1919,7844,385074,394988,3.8628565787414244,3.2682228581098274,4.565680369959786,3.654020180968499,291.48375561251027,1.8372115332865127,1.618271089263151,1
FAERS,anaphylaxis_core,any,dye_anchor,broad_periop_background,151,1919,13481,718189,733740,4.1919743143796575,3.54890389597215,4.951570729306867,3.9591298112534115,336.52112424662323,1.9593228878444804,1.7394612830357652,1
FAERS,periop_hypersensitivity_broad,suspect,NMBA,whole_database,3930,11767,355259,19590280,19961236,18.417146861446195,17.761254257767146,19.097260452073442,14.0564800355888,48003.87014684827,3.7960583983155898,3.7572892177001047,1
FAERS,periop_hypersensitivity_broad,suspect,NMBA,anesthesia_background,3930,11767,16426,362865,394988,7.37802392079143,7.0933351768481785,7.674138556632831,5.781181593677312,13221.015794223249,2.2796872929900998,2.245740938269619,1
FAERS,periop_hypersensitivity_broad,suspect,NMBA,broad_periop_background,3930,11767,34577,683466,733740,6.60170937835818,6.357507566900913,6.855291363427742,5.19923006021155,12631.423464231244,2.253496813172899,2.217052859822283,1
FAERS,periop_hypersensitivity_broad,suspect,antibiotic_anchor,whole_database,17790,174942,341399,19427105,19961236,5.786656507190441,5.6959979283896445,5.878758025053629,5.344827338900182,60815.25506959005,2.3586889305703194,2.3390396371359823,1
FAERS,periop_hypersensitivity_broad,suspect,antibiotic_anchor,anesthesia_background,2764,10390,17592,364242,394988,5.508042679299936,5.267818906965031,5.7592211677733385,4.560784813587222,7001.5101044391595,2.0268080265003876,1.9830828121559432,1
FAERS,periop_hypersensitivity_broad,suspect,antibiotic_anchor,broad_periop_background,17790,174942,20717,520291,733740,2.5538848295069605,2.5014284500885076,2.607441249081108,2.410454516341898,8336.700065349381,0.8145878212215878,0.800054855154936,1
FAERS,periop_hypersensitivity_broad,suspect,chlorhexidine,whole_database,4743,7782,354446,19594265,19961236,33.693086419211156,32.4933265003243,34.937145399413055,21.312782316511075,92270.92170652433,4.392330271301094,4.36030865436688,1
FAERS,periop_hypersensitivity_broad,suspect,chlorhexidine,anesthesia_background,4743,7782,15613,366850,394988,14.320693898156652,13.766074242274579,14.897658556490192,9.276378436363679,28322.28550094082,2.876378976205658,2.8504041887321447,1
