year,context_core_teicoplanin_reports_n,scope
2015,4,FAERS target-independent medication context; core anaphylaxis; suspect role
2016,9,FAERS target-independent medication context; core anaphylaxis; suspect role
2017,1,FAERS target-independent medication context; core anaphylaxis; suspect role
2018,7,FAERS target-independent medication context; core anaphylaxis; suspect role
2019,8,FAERS target-independent medication context; core anaphylaxis; suspect role
2020,5,FAERS target-independent medication context; core anaphylaxis; suspect role
2021,3,FAERS target-independent medication context; core anaphylaxis; suspect role
2022,4,FAERS target-independent medication context; core anaphylaxis; suspect role
2023,3,FAERS target-independent medication context; core anaphylaxis; suspect role
2024,11,FAERS target-independent medication context; core anaphylaxis; suspect role
2025,3,FAERS target-independent medication context; core anaphylaxis; suspect role
