database,report_round,year_quarter,report_n,core_anaphylaxis_n,core_anaphylaxis_percent,purpose
JADER,01,2004・第一,2030,113,5.566502463054187,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2004・第一,3148,99,3.144853875476493,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2004・第一,615,12,1.951219512195122,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2004・第一,129,1,0.7751937984496124,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2004・第一,27,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2004・第一,8,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2004・第一,3,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2004・第一,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,09,2004・第一,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,15,2004・第一,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2004・第三,2031,135,6.646971935007386,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2004・第三,3424,136,3.97196261682243,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2004・第三,662,15,2.2658610271903323,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2004・第三,160,3,1.875,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2004・第三,45,1,2.2222222222222223,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2004・第三,13,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2004・第三,3,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2004・第三,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,09,2004・第三,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2004・第二,2081,114,5.478135511773186,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2004・第二,3337,122,3.6559784237338926,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2004・第二,643,7,1.088646967340591,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2004・第二,122,1,0.819672131147541,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2004・第二,41,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2004・第二,6,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2004・第二,10,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2004・第二,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,09,2004・第二,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,10,2004・第二,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2004・第四,2004,103,5.139720558882235,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2004・第四,2977,116,3.896540141081626,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2004・第四,683,8,1.171303074670571,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2004・第四,139,3,2.158273381294964,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2004・第四,36,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2004・第四,8,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2004・第四,6,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2004・第四,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,16,2004・第四,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2005・第一,1667,96,5.758848230353929,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2005・第一,2775,119,4.288288288288288,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2005・第一,749,16,2.1361815754339117,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2005・第一,224,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2005・第一,48,1,2.0833333333333335,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2005・第一,11,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2005・第一,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2005・第一,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,12,2005・第一,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2005・第三,2079,93,4.473304473304474,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2005・第三,3273,135,4.124656278643446,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2005・第三,929,30,3.2292787944025836,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2005・第三,279,1,0.35842293906810035,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2005・第三,74,1,1.3513513513513513,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2005・第三,21,2,9.523809523809524,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2005・第三,10,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2005・第三,5,1,20.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,09,2005・第三,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,11,2005・第三,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,13,2005・第三,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2005・第二,1945,105,5.3984575835475574,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2005・第二,2917,113,3.873842989372643,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2005・第二,852,18,2.112676056338028,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2005・第二,227,4,1.7621145374449338,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2005・第二,79,1,1.2658227848101267,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2005・第二,20,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2005・第二,10,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2005・第二,4,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,10,2005・第二,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2005・第四,1839,95,5.165851005981511,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2005・第四,2855,151,5.288966725043783,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2005・第四,898,27,3.0066815144766146,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2005・第四,238,2,0.8403361344537815,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2005・第四,84,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2005・第四,32,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2005・第四,10,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2005・第四,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,12,2005・第四,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
