database,scenario,scope,scenario_report_n,scenario_core_anaphylaxis_n,scenario_core_anaphylaxis_percent,scope_report_n,scope_core_anaphylaxis_n,a_chlorhexidine_suspect_core,b_chlorhexidine_suspect_noncore,c_nonchlorhexidine_core,d_nonchlorhexidine_noncore,vaccine_like_report_n_total,early_2021_report_n_total,interpretation,ror,ror_ci_low,ror_ci_high,prr,chi_square,evans_plus_ror_positive,sparse_or_zero_support,display_note
JADER,baseline,whole_database,998397,32665,3.2717446066043867,998397,32665,81,53,32584,965679,51138,44650,Structural sensitivity; removal changes the reporting reference set and is not a causal adjustment.,45.29367289884143,32.0312159122119,64.04742206133682,18.519139280885042,1384.388972925766,1,0,Descriptive reporting contrast; not a risk estimate or truth test.
JADER,baseline,nonculprit_medication_marker_context,998397,32665,3.2717446066043867,28989,4006,36,12,3970,24971,51138,44650,Structural sensitivity; removal changes the reporting reference set and is not a causal adjustment.,18.86977329974811,9.809686192031865,36.29762842700422,5.467443324937027,151.11393762791815,1,0,Descriptive reporting contrast; not a risk estimate or truth test.
JADER,exclude_vaccine_like,whole_database,947259,27395,2.8920284737331605,947259,27395,81,53,27314,919811,51138,44650,Structural sensitivity; removal changes the reporting reference set and is not a causal adjustment.,51.46624027211148,36.395186376461375,72.77813775559629,20.96052786882021,1580.8328999122743,1,0,Descriptive reporting contrast; not a risk estimate or truth test.
JADER,exclude_vaccine_like,nonculprit_medication_marker_context,947259,27395,2.8920284737331605,28608,3985,36,12,3949,24611,51138,44650,Structural sensitivity; removal changes the reporting reference set and is not a causal adjustment.,18.69663205874905,9.719621621839325,35.96477969418031,5.424158014687262,149.5673393249029,1,0,Descriptive reporting contrast; not a risk estimate or truth test.
JADER,exclude_2021_q1_q2,whole_database,953747,28767,3.016208701049649,953747,28767,79,53,28688,924927,51138,44650,Structural sensitivity; removal changes the reporting reference set and is not a causal adjustment.,48.0571937250734,33.92606734059036,68.07431717751957,19.894176268400685,1457.6847030763147,1,0,Descriptive reporting contrast; not a risk estimate or truth test.
JADER,exclude_2021_q1_q2,nonculprit_medication_marker_context,953747,28767,3.016208701049649,28315,3882,35,12,3847,24421,51138,44650,Structural sensitivity; removal changes the reporting reference set and is not a causal adjustment.,18.515184992634953,9.602733573797263,35.699425864205715,5.471962125779137,146.90197049260556,1,0,Descriptive reporting contrast; not a risk estimate or truth test.
JADER,exclude_vaccine_like_and_2021_q1_q2,whole_database,918554,26540,2.889323872085909,918554,26540,79,53,26461,891961,51138,44650,Structural sensitivity; removal changes the reporting reference set and is not a causal adjustment.,50.24476677317205,35.46980688136944,71.17424113793159,20.772519992258474,1526.512302451553,1,0,Descriptive reporting contrast; not a risk estimate or truth test.
JADER,exclude_vaccine_like_and_2021_q1_q2,nonculprit_medication_marker_context,918554,26540,2.889323872085909,27968,3869,35,12,3834,24087,51138,44650,Structural sensitivity; removal changes the reporting reference set and is not a causal adjustment.,18.32387845592071,9.503473872418612,35.33071444977875,5.42311790363933,145.2084194524313,1,0,Descriptive reporting contrast; not a risk estimate or truth test.
JADER,vaccine_like_only,whole_database,51138,5270,10.305448003441668,51138,5270,0,0,5270,45868,51138,44650,Structural sensitivity; removal changes the reporting reference set and is not a causal adjustment.,,,,,,0,1,ROR withheld because an agent-event/nonevent cell is <5 or a 2x2 cell is zero.
JADER,vaccine_like_only,nonculprit_medication_marker_context,51138,5270,10.305448003441668,381,21,0,0,21,360,51138,44650,Structural sensitivity; removal changes the reporting reference set and is not a causal adjustment.,,,,,,0,1,ROR withheld because an agent-event/nonevent cell is <5 or a 2x2 cell is zero.
