database,drug_class,background,context_definition,context_reports_n,context_core_anaphylaxis_n,a_target_suspect_core,b_target_suspect_noncore,c_non_target_core,d_non_target_noncore,ror,ror_ci_low,ror_ci_high,zero_cell_correction
FAERS,NMBA,nonculprit_medication_marker_context,"at least one sedative, opioid, volatile anesthetic, local anesthetic, or vasoactive-rescue marker; no culprit-class marker used for eligibility",370050,6910,2460,8630,4450,354510,22.708727069147344,21.52199418430371,23.960896963587263,none
FAERS,antibiotic_anchor,nonculprit_medication_marker_context,"at least one sedative, opioid, volatile anesthetic, local anesthetic, or vasoactive-rescue marker; no culprit-class marker used for eligibility",370050,6910,1907,10529,5003,352611,12.765238131316291,12.067656478499938,13.503144114147592,none
FAERS,chlorhexidine,nonculprit_medication_marker_context,"at least one sedative, opioid, volatile anesthetic, local anesthetic, or vasoactive-rescue marker; no culprit-class marker used for eligibility",370050,6910,213,1397,6697,361743,8.235747712973971,7.115673933425671,9.53213160501047,none
FAERS,dye_anchor,nonculprit_medication_marker_context,"at least one sedative, opioid, volatile anesthetic, local anesthetic, or vasoactive-rescue marker; no culprit-class marker used for eligibility",370050,6910,79,561,6831,362579,7.474507664153483,5.898820485618295,9.47109086599594,none
Canada,NMBA,nonculprit_medication_marker_context,"at least one sedative, opioid, volatile anesthetic, local anesthetic, or vasoactive-rescue marker; no culprit-class marker used for eligibility",16916,604,45,251,559,16061,5.151095082995389,3.7095191745942255,7.152889446099636,none
Canada,antibiotic_anchor,nonculprit_medication_marker_context,"at least one sedative, opioid, volatile anesthetic, local anesthetic, or vasoactive-rescue marker; no culprit-class marker used for eligibility",16916,604,63,491,541,15821,3.7522841836984386,2.8474388376250106,4.944666908798992,none
Canada,chlorhexidine,nonculprit_medication_marker_context,"at least one sedative, opioid, volatile anesthetic, local anesthetic, or vasoactive-rescue marker; no culprit-class marker used for eligibility",16916,604,12,129,592,16183,2.5428975487115024,1.39949431719523,4.620474598426622,none
Canada,dye_anchor,nonculprit_medication_marker_context,"at least one sedative, opioid, volatile anesthetic, local anesthetic, or vasoactive-rescue marker; no culprit-class marker used for eligibility",16916,604,10,33,594,16279,8.304764819916334,4.073883435461204,16.9295758719498,none
JADER,NMBA,nonculprit_medication_marker_context,"at least one sedative, opioid, volatile anesthetic, local anesthetic, or vasoactive-rescue marker; no culprit-class marker used for eligibility",28989,4006,968,1396,3038,23587,5.383625933967265,4.918957950533739,5.892188648154639,none
JADER,antibiotic_anchor,nonculprit_medication_marker_context,"at least one sedative, opioid, volatile anesthetic, local anesthetic, or vasoactive-rescue marker; no culprit-class marker used for eligibility",28989,4006,591,984,3415,23999,4.220800449951791,3.7882647373510903,4.702722136249202,none
JADER,chlorhexidine,nonculprit_medication_marker_context,"at least one sedative, opioid, volatile anesthetic, local anesthetic, or vasoactive-rescue marker; no culprit-class marker used for eligibility",28989,4006,36,12,3970,24971,18.86977329974811,9.809686192031865,36.29762842700422,none
JADER,dye_anchor,nonculprit_medication_marker_context,"at least one sedative, opioid, volatile anesthetic, local anesthetic, or vasoactive-rescue marker; no culprit-class marker used for eligibility",28989,4006,17,24,3989,24959,4.432010946770285,2.378884099490375,8.257115610003734,none
