drug_class,analysis_role,generic_or_group,alias,database_scope,match_type,primary_culprit_class,notes
NMBA,primary,rocuronium,rocuronium,FAERS_Canada,contains,yes,
NMBA,primary,rocuronium,zemuron,FAERS_Canada,contains,yes,Brand alias.
NMBA,primary,rocuronium,esmeron,FAERS_Canada,contains,yes,Brand alias.
NMBA,primary,rocuronium,ロクロニウム,JADER,contains,yes,
NMBA,primary,rocuronium,エスラックス,JADER,contains,yes,Japan brand alias; verify before final.
NMBA,primary,succinylcholine,succinylcholine,FAERS_Canada,contains,yes,
NMBA,primary,succinylcholine,suxamethonium,FAERS_Canada,contains,yes,
NMBA,primary,succinylcholine,scoline,FAERS_Canada,contains,yes,Brand alias.
NMBA,primary,succinylcholine,スキサメトニウム,JADER,contains,yes,
NMBA,primary,succinylcholine,サクシニルコリン,JADER,contains,yes,
NMBA,primary,cisatracurium,cisatracurium,FAERS_Canada,contains,yes,
NMBA,primary,cisatracurium,nimbex,FAERS_Canada,contains,yes,Brand alias.
NMBA,primary,cisatracurium,シスアトラクリウム,JADER,contains,yes,
NMBA,primary,vecuronium,vecuronium,FAERS_Canada,contains,yes,
NMBA,primary,vecuronium,norcuron,FAERS_Canada,contains,yes,Brand alias.
NMBA,primary,vecuronium,ベクロニウム,JADER,contains,yes,
NMBA,primary,atracurium,atracurium,FAERS_Canada,contains,yes,
NMBA,primary,atracurium,tracrium,FAERS_Canada,contains,yes,Brand alias.
NMBA,primary,atracurium,アトラクリウム,JADER,contains,yes,
NMBA,primary,pancuronium,pancuronium,FAERS_Canada,contains,yes,
NMBA,primary,pancuronium,パンクロニウム,JADER,contains,yes,
NMBA,primary,mivacurium,mivacurium,FAERS_Canada,contains,yes,
NMBA,primary,mivacurium,ミバクリウム,JADER,contains,yes,
antibiotic_anchor,primary,cefazolin,cefazolin,FAERS_Canada,contains,yes,
antibiotic_anchor,primary,cefazolin,cephazolin,FAERS_Canada,contains,yes,Alternative spelling.
antibiotic_anchor,primary,cefazolin,セファゾリン,JADER,contains,yes,
antibiotic_anchor,primary,cefuroxime,cefuroxime,FAERS_Canada,contains,yes,
antibiotic_anchor,primary,cefuroxime,セフロキシム,JADER,contains,yes,
antibiotic_anchor,primary,ceftriaxone,ceftriaxone,FAERS_Canada,contains,yes,
antibiotic_anchor,primary,ceftriaxone,セフトリアキソン,JADER,contains,yes,
antibiotic_anchor,primary,teicoplanin,teicoplanin,FAERS_Canada,contains,yes,
antibiotic_anchor,primary,teicoplanin,テイコプラニン,JADER,contains,yes,
antibiotic_anchor,primary,vancomycin,vancomycin,FAERS_Canada,contains,yes,
antibiotic_anchor,primary,vancomycin,バンコマイシン,JADER,contains,yes,
antibiotic_anchor,primary,amoxicillin,amoxicillin,FAERS_Canada,contains,yes,
antibiotic_anchor,primary,amoxicillin,アモキシシリン,JADER,contains,yes,
antibiotic_anchor,primary,amoxicillin_clavulanate,co-amoxiclav,FAERS_Canada,contains,yes,
antibiotic_anchor,primary,amoxicillin_clavulanate,amoxicillin clavulanate,FAERS_Canada,contains,yes,
antibiotic_anchor,primary,amoxicillin_clavulanate,クラブラン酸,JADER,contains,yes,
antibiotic_anchor,primary,gentamicin,gentamicin,FAERS_Canada,contains,yes,
