"year","quarter","filename","url"
"2004","q1","aers_ascii_2004q1.zip","https://fis.fda.gov/content/Exports/aers_ascii_2004q1.zip"
"2004","q2","aers_ascii_2004q2.zip","https://fis.fda.gov/content/Exports/aers_ascii_2004q2.zip"
"2004","q3","aers_ascii_2004q3.zip","https://fis.fda.gov/content/Exports/aers_ascii_2004q3.zip"
"2004","q4","aers_ascii_2004q4.zip","https://fis.fda.gov/content/Exports/aers_ascii_2004q4.zip"
"2005","q1","aers_ascii_2005q1.zip","https://fis.fda.gov/content/Exports/aers_ascii_2005q1.zip"
"2005","q2","aers_ascii_2005q2.zip","https://fis.fda.gov/content/Exports/aers_ascii_2005q2.zip"
"2005","q3","aers_ascii_2005q3.zip","https://fis.fda.gov/content/Exports/aers_ascii_2005q3.zip"
"2005","q4","aers_ascii_2005q4.zip","https://fis.fda.gov/content/Exports/aers_ascii_2005q4.zip"
"2006","q1","aers_ascii_2006q1.zip","https://fis.fda.gov/content/Exports/aers_ascii_2006q1.zip"
"2006","q2","aers_ascii_2006q2.zip","https://fis.fda.gov/content/Exports/aers_ascii_2006q2.zip"
"2006","q3","aers_ascii_2006q3.zip","https://fis.fda.gov/content/Exports/aers_ascii_2006q3.zip"
"2006","q4","aers_ascii_2006q4.zip","https://fis.fda.gov/content/Exports/aers_ascii_2006q4.zip"
"2007","q1","aers_ascii_2007q1.zip","https://fis.fda.gov/content/Exports/aers_ascii_2007q1.zip"
"2007","q2","aers_ascii_2007q2.zip","https://fis.fda.gov/content/Exports/aers_ascii_2007q2.zip"
"2007","q3","aers_ascii_2007q3.zip","https://fis.fda.gov/content/Exports/aers_ascii_2007q3.zip"
"2007","q4","aers_ascii_2007q4.zip","https://fis.fda.gov/content/Exports/aers_ascii_2007q4.zip"
"2008","q1","aers_ascii_2008q1.zip","https://fis.fda.gov/content/Exports/aers_ascii_2008q1.zip"
"2008","q2","aers_ascii_2008q2.zip","https://fis.fda.gov/content/Exports/aers_ascii_2008q2.zip"
"2008","q3","aers_ascii_2008q3.zip","https://fis.fda.gov/content/Exports/aers_ascii_2008q3.zip"
"2008","q4","aers_ascii_2008q4.zip","https://fis.fda.gov/content/Exports/aers_ascii_2008q4.zip"
"2009","q1","aers_ascii_2009q1.zip","https://fis.fda.gov/content/Exports/aers_ascii_2009q1.zip"
"2009","q2","aers_ascii_2009q2.zip","https://fis.fda.gov/content/Exports/aers_ascii_2009q2.zip"
"2009","q3","aers_ascii_2009q3.zip","https://fis.fda.gov/content/Exports/aers_ascii_2009q3.zip"
"2009","q4","aers_ascii_2009q4.zip","https://fis.fda.gov/content/Exports/aers_ascii_2009q4.zip"
"2010","q1","aers_ascii_2010q1.zip","https://fis.fda.gov/content/Exports/aers_ascii_2010q1.zip"
"2010","q2","aers_ascii_2010q2.zip","https://fis.fda.gov/content/Exports/aers_ascii_2010q2.zip"
"2010","q3","aers_ascii_2010q3.zip","https://fis.fda.gov/content/Exports/aers_ascii_2010q3.zip"
"2010","q4","aers_ascii_2010q4.zip","https://fis.fda.gov/content/Exports/aers_ascii_2010q4.zip"
"2011","q1","aers_ascii_2011q1.zip","https://fis.fda.gov/content/Exports/aers_ascii_2011q1.zip"
"2011","q2","aers_ascii_2011q2.zip","https://fis.fda.gov/content/Exports/aers_ascii_2011q2.zip"
"2011","q3","aers_ascii_2011q3.zip","https://fis.fda.gov/content/Exports/aers_ascii_2011q3.zip"
"2011","q4","aers_ascii_2011q4.zip","https://fis.fda.gov/content/Exports/aers_ascii_2011q4.zip"
"2012","q1","aers_ascii_2012q1.zip","https://fis.fda.gov/content/Exports/aers_ascii_2012q1.zip"
"2012","q2","aers_ascii_2012q2.zip","https://fis.fda.gov/content/Exports/aers_ascii_2012q2.zip"
"2012","q3","aers_ascii_2012q3.zip","https://fis.fda.gov/content/Exports/aers_ascii_2012q3.zip"
"2012","q4","faers_ascii_2012q4.zip","https://fis.fda.gov/content/Exports/faers_ascii_2012q4.zip"
"2013","q1","faers_ascii_2013q1.zip","https://fis.fda.gov/content/Exports/faers_ascii_2013q1.zip"
"2013","q2","faers_ascii_2013q2.zip","https://fis.fda.gov/content/Exports/faers_ascii_2013q2.zip"
"2013","q3","faers_ascii_2013q3.zip","https://fis.fda.gov/content/Exports/faers_ascii_2013q3.zip"
"2013","q4","faers_ascii_2013q4.zip","https://fis.fda.gov/content/Exports/faers_ascii_2013q4.zip"
"2014","q1","faers_ascii_2014q1.zip","https://fis.fda.gov/content/Exports/faers_ascii_2014q1.zip"
"2014","q2","faers_ascii_2014q2.zip","https://fis.fda.gov/content/Exports/faers_ascii_2014q2.zip"
"2014","q3","faers_ascii_2014q3.zip","https://fis.fda.gov/content/Exports/faers_ascii_2014q3.zip"
"2014","q4","faers_ascii_2014q4.zip","https://fis.fda.gov/content/Exports/faers_ascii_2014q4.zip"
"2015","q1","faers_ascii_2015q1.zip","https://fis.fda.gov/content/Exports/faers_ascii_2015q1.zip"
"2015","q2","faers_ascii_2015q2.zip","https://fis.fda.gov/content/Exports/faers_ascii_2015q2.zip"
"2015","q3","faers_ascii_2015q3.zip","https://fis.fda.gov/content/Exports/faers_ascii_2015q3.zip"
"2015","q4","faers_ascii_2015q4.zip","https://fis.fda.gov/content/Exports/faers_ascii_2015q4.zip"
"2016","q1","faers_ascii_2016q1.zip","https://fis.fda.gov/content/Exports/faers_ascii_2016q1.zip"
"2016","q2","faers_ascii_2016q2.zip","https://fis.fda.gov/content/Exports/faers_ascii_2016q2.zip"
"2016","q3","faers_ascii_2016q3.zip","https://fis.fda.gov/content/Exports/faers_ascii_2016q3.zip"
"2016","q4","faers_ascii_2016q4.zip","https://fis.fda.gov/content/Exports/faers_ascii_2016q4.zip"
"2017","q1","faers_ascii_2017q1.zip","https://fis.fda.gov/content/Exports/faers_ascii_2017q1.zip"
"2017","q2","faers_ascii_2017q2.zip","https://fis.fda.gov/content/Exports/faers_ascii_2017q2.zip"
"2017","q3","faers_ascii_2017q3.zip","https://fis.fda.gov/content/Exports/faers_ascii_2017q3.zip"
"2017","q4","faers_ascii_2017q4.zip","https://fis.fda.gov/content/Exports/faers_ascii_2017q4.zip"
"2018","q1","faers_ascii_2018q1.zip","https://fis.fda.gov/content/Exports/faers_ascii_2018q1.zip"
