database,smq_scope,drug_class,agent,class_core_n,class_noncore_n,a,b,c,d,core_share,noncore_share,difference_pp,difference_ci_low_pp,difference_ci_high_pp,ror,ror_ci_low,ror_ci_high,sparse_display
FAERS,narrow,NMBA,rocuronium,2834,8256,1537,1297,3712,4544,0.5423429781227946,0.4496124031007752,9.273057502201942,7.143064798910456,11.390789177157016,1.4506553585196607,1.3315343469292826,1.5804331101596203,0
FAERS,narrow,NMBA,succinylcholine,2834,8256,451,2383,1489,6767,0.15913902611150318,0.18035368217054262,-2.1214656059039436,-3.671938632884006,-0.508022562273433,0.8601099629201359,0.7664973330519785,0.9651555412056602,0
FAERS,narrow,antibiotic_anchor,cefazolin,2272,10164,847,1425,1395,8769,0.3727992957746479,0.1372491145218418,23.555018125280608,21.4745369421081,25.667446737047477,3.7363229579324657,3.373690658977425,4.1379339889462665,0
FAERS,narrow,antibiotic_anchor,teicoplanin,2272,10164,73,2199,222,9942,0.032130281690140844,0.021841794569067298,1.0288487121073546,0.31196053808667257,1.8794834810500216,1.4866831360692208,1.1366699471811137,1.9444753972372264,0
FAERS,broad_algorithm,NMBA,rocuronium,3224,7866,1739,1485,3510,4356,0.5393920595533499,0.4462242562929062,9.316780326044372,7.27107094382407,11.351761952128562,1.45329534662868,1.338485846364587,1.5779527069853483,0
FAERS,broad_algorithm,NMBA,succinylcholine,3224,7866,494,2730,1446,6420,0.1532258064516129,0.18382913806254766,-3.060333161093476,-4.544977842570436,-1.5252186338609741,0.8033985378383719,0.7186120165522355,0.8981887245604062,0
FAERS,broad_algorithm,antibiotic_anchor,cefazolin,2903,9533,966,1937,1276,8257,0.33275921460558044,0.13385083394524283,19.890838066033762,18.061350734769118,21.750447057374434,3.227149730621149,2.9284118712062526,3.5563629167908966,0
FAERS,broad_algorithm,antibiotic_anchor,teicoplanin,2903,9533,91,2812,204,9329,0.031346882535308304,0.02139934962760936,0.9947532907698946,0.3417435196168146,1.7441892451838914,1.4798953365129837,1.1517964120844437,1.9014560073766846,0
Canada,narrow,NMBA,rocuronium,55,241,44,11,121,120,0.8,0.5020746887966805,29.792531120331954,15.933499713897975,40.31056956158883,3.9669421487603307,1.9555497210024604,8.047164356191498,0
Canada,narrow,NMBA,succinylcholine,55,241,7,48,95,146,0.12727272727272726,0.3941908713692946,-26.691814409656732,-35.681325774980664,-13.926704705240315,0.22412280701754386,0.0973368483872095,0.5160536164639555,0
Canada,narrow,antibiotic_anchor,cefazolin,74,480,40,34,78,402,0.5405405405405406,0.1625,37.804054054054056,25.980764174334816,49.09095744341659,6.0633484162895925,3.6137055104278573,10.173544554539168,0
Canada,narrow,antibiotic_anchor,teicoplanin,74,480,0,74,0,480,0.0,0.0,0.0,-0.7939499087277936,4.934977939638607,,,,1
Canada,broad_algorithm,NMBA,rocuronium,65,231,51,14,114,117,0.7846153846153846,0.4935064935064935,29.11088911088911,16.010325006438585,39.54363935314903,3.738721804511278,1.9612131849248347,7.127241872006785,0
Canada,broad_algorithm,NMBA,succinylcholine,65,231,7,58,95,136,0.1076923076923077,0.41125541125541126,-30.356310356310356,-38.795487804812666,-18.75931619324145,0.17277676950998186,0.0755751195450396,0.39499523470174575,0
Canada,broad_algorithm,antibiotic_anchor,cefazolin,136,418,57,79,61,357,0.41911764705882354,0.145933014354067,27.318463270475657,18.53883925272192,36.26204531279611,4.22266030296742,2.731492957301708,6.527880654640615,0
Canada,broad_algorithm,antibiotic_anchor,teicoplanin,136,418,0,136,0,418,0.0,0.0,0.0,-0.9106404172395386,2.747009973358241,,,,1
