database,smq_scope,drug_class,agent,country_field,country_stratum,class_core_n,class_noncore_n,a,b,c,d,core_share,noncore_share,difference_pp,difference_ci_low_pp,difference_ci_high_pp,ror,ror_ci_low,ror_ci_high,sparse_display
FAERS,narrow,NMBA,rocuronium,OCCR_COUNTRY,GB,256,445,176,80,254,191,0.6875,0.5707865168539326,11.671348314606744,4.223916639770053,18.764833321457726,1.6543307086614174,1.196294315070461,2.287739780372517,0
FAERS,narrow,NMBA,rocuronium,OCCR_COUNTRY,Non-GB observed,2447,6047,1303,1144,2893,3154,0.5324887617490806,0.47841905076897634,5.4069710980104215,3.0596767680139356,7.744203766616832,1.2417427888392285,1.130239589286349,1.3642462786211733,0
FAERS,narrow,NMBA,rocuronium,OCCR_COUNTRY,Missing OCCR_COUNTRY,131,1764,58,73,565,1199,0.44274809160305345,0.32029478458049887,12.245330702255458,3.7300837850073,21.056708313591262,1.6860710389138078,1.177539214844168,2.4142173037015167,0
FAERS,narrow,NMBA,succinylcholine,OCCR_COUNTRY,GB,256,445,27,229,47,398,0.10546875,0.10561797752808989,-0.014922752808989304,-4.538671769289877,5.026636940567274,0.9984205147263774,0.6053030758480293,1.6468502540316798,0
FAERS,narrow,NMBA,succinylcholine,OCCR_COUNTRY,Non-GB observed,2447,6047,393,2054,1083,4964,0.16060482223130362,0.17909707292872498,-1.8492250697421357,-3.5631445501053585,-0.06925517668778212,0.8769915872549204,0.7728917620617178,0.9951124877618873,0
FAERS,narrow,NMBA,succinylcholine,OCCR_COUNTRY,Missing OCCR_COUNTRY,131,1764,31,100,359,1405,0.2366412213740458,0.20351473922902494,3.312648214502087,-3.4355167983374733,11.479676596243603,1.2132311977715877,0.797744848182629,1.845113688417465,0
FAERS,narrow,antibiotic_anchor,cefazolin,OCCR_COUNTRY,GB,258,619,2,256,2,617,0.007751937984496124,0.0032310177705977385,0.45209202138983856,-0.5647824933993312,2.472438968219136,2.41015625,0.33765945781876344,17.20328874226863,1
FAERS,narrow,antibiotic_anchor,cefazolin,OCCR_COUNTRY,Non-GB observed,1891,8249,791,1100,1153,7096,0.4182971972501322,0.1397745181234089,27.85226791267233,25.51875606251204,30.20646593015272,4.425558621777182,3.9623703733719506,4.942892074503164,0
FAERS,narrow,antibiotic_anchor,cefazolin,OCCR_COUNTRY,Missing OCCR_COUNTRY,123,1296,54,69,240,1056,0.43902439024390244,0.18518518518518517,25.38392050587173,16.646902802792145,34.4354269037982,3.4434782608695653,2.3485081763240987,5.048967958732335,0
FAERS,narrow,antibiotic_anchor,teicoplanin,OCCR_COUNTRY,GB,258,619,62,196,99,520,0.24031007751937986,0.15993537964458804,8.037469787479182,2.318648461899249,14.217412325893019,1.6615130900845188,1.1621864925921965,2.3753724261282487,0
FAERS,narrow,antibiotic_anchor,teicoplanin,OCCR_COUNTRY,Non-GB observed,1891,8249,10,1881,101,8148,0.005288207297726071,0.01224390835252758,-0.6955701054801509,-1.0510748541666115,-0.20385238229351804,0.42888499376253414,0.22351788892119412,0.8229423549161277,0
