database,drug_class,drug_sequence_stratum,context_definition,a_target_suspect_core,b_target_suspect_noncore,c_non_target_core,d_non_target_noncore,sparse,interpretation,ror,ror_ci_low,ror_ci_high,zero_cell_correction
FAERS,NMBA,<2,target-independent non-culprit medication-marker context,0,0,372,51575,1,"descriptive when sparse; burden-stratified sensitivity, not adjustment",,,,not reported; sparse or zero-support burden stratum
FAERS,NMBA,2-4,target-independent non-culprit medication-marker context,759,1585,1076,72419,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",32.229440151044294,29.00545184732696,35.811778348333945,none
FAERS,NMBA,5-8,target-independent non-culprit medication-marker context,1068,3076,1273,57540,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",15.693737186356222,14.35658677670881,17.155427728406195,none
FAERS,NMBA,>=9,target-independent non-culprit medication-marker context,633,3969,1729,172976,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",15.95561203724469,14.490212865451484,17.569207426210948,none
FAERS,antibiotic_anchor,<2,target-independent non-culprit medication-marker context,0,0,372,51575,1,"descriptive when sparse; burden-stratified sensitivity, not adjustment",,,,not reported; sparse or zero-support burden stratum
FAERS,antibiotic_anchor,2-4,target-independent non-culprit medication-marker context,328,1018,1507,72986,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",15.604590496478124,13.640928324297686,17.850929113749466,none
FAERS,antibiotic_anchor,5-8,target-independent non-culprit medication-marker context,924,2301,1417,58315,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",16.52592518303079,15.061958491698997,18.132184025447057,none
FAERS,antibiotic_anchor,>=9,target-independent non-culprit medication-marker context,655,7210,1707,169735,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",9.033247694286478,8.230064379409317,9.914814774776826,none
FAERS,chlorhexidine,<2,target-independent non-culprit medication-marker context,0,0,372,51575,1,"descriptive when sparse; burden-stratified sensitivity, not adjustment",,,,not reported; sparse or zero-support burden stratum
FAERS,chlorhexidine,2-4,target-independent non-culprit medication-marker context,20,75,1815,73929,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",10.861928374655648,6.618142191191201,17.826979929984553,none
FAERS,chlorhexidine,5-8,target-independent non-culprit medication-marker context,65,108,2276,60508,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",16.00037427585758,11.729313624826545,21.826680158474403,none
FAERS,chlorhexidine,>=9,target-independent non-culprit medication-marker context,128,1214,2234,175731,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",8.293856071879992,6.880218428985965,9.997945450577628,none
FAERS,dye_anchor,<2,target-independent non-culprit medication-marker context,0,0,372,51575,1,"descriptive when sparse; burden-stratified sensitivity, not adjustment",,,,not reported; sparse or zero-support burden stratum
FAERS,dye_anchor,2-4,target-independent non-culprit medication-marker context,9,47,1826,73957,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",7.755738621798606,3.795343051336774,15.848760113653581,none
FAERS,dye_anchor,5-8,target-independent non-culprit medication-marker context,34,169,2307,60447,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",5.27131985749571,3.638387234133113,7.637123607775939,none
FAERS,dye_anchor,>=9,target-independent non-culprit medication-marker context,36,345,2326,176600,0,"descriptive when sparse; burden-stratified sensitivity, not adjustment",7.922539160342443,5.606887720273302,11.194557458357675,none
